Date,State,District,Pincode,Demo_age_5_17,Demo_age_17+
01-03-2025,Andhra Pradesh,East Godavari,533213,15,246
01-03-2025,Odisha,Nabarangapur,764061,23,677
01-03-2025,Maharashtra,Beed,413249,19,383
01-03-2025,Gujarat,Morbi,363642,88,385
01-03-2025,Karnataka,Haveri,581120,256,215
01-03-2025,Madhya Pradesh,Mandsaur,458895,85,554
01-03-2025,Rajasthan,Ganganagar,335701,69,951
01-03-2025,Bihar,Buxar,802122,28,423
01-03-2025,Uttar Pradesh,Kanpur Nagar,208025,25,338
01-03-2025,Punjab,Mansa,151506,12,446
01-03-2025,Delhi,North West Delhi,110036,140,1003
01-03-2025,Karnataka,Bangalore Rural,562110,111,878
01-03-2025,Maharashtra,Gadchiroli,442710,17,288
01-03-2025,West Bengal,Nadia,741161,26,482
01-03-2025,Uttar Pradesh,Sultanpur,228125,55,692
01-03-2025,Uttar Pradesh,Allahabad,211002,55,376
01-03-2025,Bihar,Bhojpur,802112,38,455
01-03-2025,Madhya Pradesh,Sehore,466116,80,464
01-03-2025,Andhra Pradesh,Warangal,506310,11,89
01-03-2025,Tamil Nadu,Dharmapuri,636803,33,344
01-03-2025,Maharashtra,Amravati,444805,17,179
01-03-2025,Gujarat,Kachchh,370655,74,270
01-03-2025,Bihar,Jehanabad,804454,17,148
01-03-2025,Telangana,Khammam,507302,38,393
01-03-2025,Bihar,Aurangabad,824216,11,85
01-03-2025,Tamil Nadu,Madurai,625529,13,176
01-03-2025,Karnataka,Uttara Kannada,581320,92,490
01-03-2025,Tamil Nadu,Virudhunagar,626136,13,121
01-03-2025,Karnataka,Yadgir,585237,73,184
01-03-2025,Odisha,Balangir,767030,13,213
01-03-2025,Andhra Pradesh,Prakasam,523371,26,158
01-03-2025,Andhra Pradesh,Kurnool,518333,34,338
01-03-2025,Odisha,Kendrapara,754219,39,236
01-03-2025,West Bengal,Bankura,722143,34,457
01-03-2025,West Bengal,Jalpaiguri,735219,16,385
01-03-2025,Uttar Pradesh,Ballia,277204,27,316
01-03-2025,Uttar Pradesh,Ambedkar Nagar,224145,47,478
01-03-2025,Telangana,Medak,502314,77,192
01-03-2025,Karnataka,Belgaum,591109,129,127
01-03-2025,Manipur,Imphal West,795132,59,389
01-03-2025,Uttar Pradesh,Deoria,274203,19,301
01-03-2025,Odisha,Sundergarh,770074,34,160
01-03-2025,Uttar Pradesh,Bara Banki,225120,25,377
01-03-2025,Uttar Pradesh,Jaunpur,223107,13,150
01-03-2025,Sikkim,West,737121,34,520
01-03-2025,Gujarat,Sabarkantha,383250,42,151
01-03-2025,West Bengal,Purba Medinipur,721447,14,104
01-03-2025,Tripura,North Tripura,799250,19,171
01-03-2025,Odisha,Jajapur,755005,33,203
01-03-2025,Odisha,Sambalpur,768228,33,312
01-03-2025,Andhra Pradesh,Visakhapatnam,530003,16,154
01-03-2025,West Bengal,Hooghly,712103,26,534
01-03-2025,West Bengal,Purba Medinipur,721649,25,323
01-03-2025,Odisha,JAJPUR,755023,46,326
01-03-2025,Kerala,Malappuram,676561,19,165
01-03-2025,Manipur,Senapati,795129,32,172
01-03-2025,Goa,North Goa,403506,16,119
01-03-2025,Manipur,Imphal West,795140,22,179
01-03-2025,Karnataka,Bagalkot,587102,45,88
01-03-2025,Telangana,Warangal Rural,506314,22,160
01-03-2025,Goa,North Goa,403001,20,150
01-03-2025,Rajasthan,Sikar,332024,22,237
01-03-2025,Gujarat,Surat,394170,21,111
01-03-2025,Telangana,Adilabad,504273,18,63
01-03-2025,Telangana,Nalgonda,508286,17,49
01-03-2025,Uttar Pradesh,Lucknow,226031,18,104
01-03-2025,Odisha,Sambalpur,768017,31,307
01-03-2025,Meghalaya,West Khasi Hills,793119,254,1771
01-03-2025,Maharashtra,Latur,413520,58,1082
01-03-2025,Tamil Nadu,Tiruchirappalli,620013,33,312
01-03-2025,Rajasthan,Barmer,344044,47,1426
01-03-2025,Gujarat,Surat,394550,69,235
01-03-2025,Rajasthan,Bharatpur,321409,53,797
01-03-2025,Karnataka,Bengaluru,560078,145,1088
01-03-2025,Tripura,West Tripura,799102,12,1171
01-03-2025,Assam,Marigaon,782104,51,511
01-03-2025,Uttar Pradesh,Deoria,274604,41,531
01-03-2025,Rajasthan,Dungarpur,314022,74,3591
01-03-2025,Tamil Nadu,Tiruchirappalli,620009,30,354
01-03-2025,West Bengal,Birbhum,731234,68,1039
01-03-2025,Maharashtra,Mumbai,400067,18,840
01-03-2025,Maharashtra,Yavatmal,445215,16,526
01-03-2025,Gujarat,Navsari,396325,36,121
01-03-2025,Telangana,Khammam,507001,91,695
01-03-2025,Uttar Pradesh,Lalitpur,284501,14,222
01-03-2025,Odisha,Nuapada,766105,57,848
01-03-2025,Uttar Pradesh,Agra,283125,155,1761
01-03-2025,Uttar Pradesh,Gonda,271001,120,1702
01-03-2025,Tamil Nadu,Pudukkottai,622303,26,504
01-03-2025,Delhi,North West Delhi,110033,221,3904
01-03-2025,Jharkhand,Godda,814154,106,2681
01-03-2025,Rajasthan,Jodhpur,342602,17,567
01-03-2025,Bihar,Madhubani,847213,22,304
01-03-2025,Tamil Nadu,Namakkal,637211,23,173
01-03-2025,Uttar Pradesh,Rae Bareli,229001,187,3908
01-03-2025,Rajasthan,Udaipur,313203,73,1401
01-03-2025,Haryana,Fatehabad,125050,188,1207
01-03-2025,Gujarat,Bharuch,393110,156,527
01-03-2025,Maharashtra,Kolhapur,416003,37,408
01-03-2025,Uttar Pradesh,Deoria,274705,47,455
01-03-2025,Uttar Pradesh,Chitrakoot,210209,135,1899
01-03-2025,Gujarat,Mahesana,382715,275,1404
01-03-2025,Uttar Pradesh,Saharanpur,247453,36,425
01-03-2025,Assam,Golaghat,785625,15,247
01-03-2025,Assam,Dibrugarh,786184,33,488
01-03-2025,Assam,Jorhat,785616,16,293
01-03-2025,Rajasthan,Nagaur,341504,26,1188
01-03-2025,Jharkhand,Dhanbad,828116,42,1826
01-03-2025,Jharkhand,Pakur,816105,40,590
01-03-2025,Bihar,Samastipur,847105,23,297
01-03-2025,Uttar Pradesh,Gorakhpur,273001,162,999
01-03-2025,Bihar,Supaul,852138,77,1080
01-03-2025,Uttar Pradesh,Bareilly,243003,56,870
01-03-2025,Bihar,Bhojpur,802154,28,311
01-03-2025,Gujarat,Valsad,396105,85,214
01-03-2025,Karnataka,Hassan,573137,15,101
01-03-2025,Madhya Pradesh,Tikamgarh,472005,46,198
01-03-2025,Andhra Pradesh,Chittoor,517422,22,225
01-03-2025,Uttar Pradesh,Rae Bareli,229127,72,620
01-03-2025,Madhya Pradesh,Morena,476115,164,1900
01-03-2025,Andhra Pradesh,Prakasam,523330,39,292
01-03-2025,Madhya Pradesh,Indore,452016,173,1658
01-03-2025,Odisha,Koraput,764043,28,862
01-03-2025,Andhra Pradesh,Guntur,522034,29,465
01-03-2025,Uttar Pradesh,Fatehpur,212620,62,1327
01-03-2025,Telangana,Nalgonda,508211,78,433
01-03-2025,Jammu and Kashmir,Kulgam,192231,231,1207
01-03-2025,West Bengal,Puruliya,723129,53,716
01-03-2025,Gujarat,Mahesana,384421,27,143
01-03-2025,Telangana,Narayanpet,509407,23,218
01-03-2025,Andhra Pradesh,Guntur,522213,20,321
01-03-2025,Telangana,Adilabad,504103,43,120
01-03-2025,Odisha,Mayurbhanj,757001,39,465
01-03-2025,Chhattisgarh,Raigarh,496554,36,1274
01-03-2025,Uttar Pradesh,Amroha,244242,90,1481
01-03-2025,Tamil Nadu,Cuddalore,606001,40,572
01-03-2025,Andhra Pradesh,Krishna,521235,22,541
01-03-2025,Uttar Pradesh,Lucknow,226024,40,348
01-03-2025,Odisha,Jajapur,755022,26,146
01-03-2025,Odisha,Ganjam,761102,67,442
01-03-2025,Delhi,Central Delhi,110003,75,571
01-03-2025,Tamil Nadu,Theni,625579,43,391
01-03-2025,Karnataka,Belgaum,591344,114,146
01-03-2025,Gujarat,Navsari,396463,45,60
01-03-2025,Maharashtra,Solapur,413221,24,688
01-03-2025,West Bengal,Cooch Behar,736169,29,327
01-03-2025,Gujarat,Mahesana,384325,127,565
01-03-2025,Uttar Pradesh,Bulandshahr,202392,98,910
01-03-2025,Uttar Pradesh,Bulandshahr,245402,46,375
01-03-2025,West Bengal,North 24 Parganas,700036,14,376
01-03-2025,Bihar,Lakhisarai,811302,97,914
01-03-2025,Tamil Nadu,Chennai,600019,29,308
01-03-2025,Andhra Pradesh,Guntur,522001,93,1087
01-03-2025,Odisha,Koraput,764055,22,408
01-03-2025,Maharashtra,Buldhana,443106,24,415
01-03-2025,Karnataka,Gulbarga,585308,10,75
01-03-2025,Punjab,Amritsar,143109,17,357
01-03-2025,Tripura,West Tripura,799003,41,631
01-03-2025,Rajasthan,Ajmer,305621,46,439
01-03-2025,Uttar Pradesh,Kushinagar,274206,48,347
01-03-2025,Kerala,Palakkad,679552,12,133
01-03-2025,Andhra Pradesh,Prakasam,523224,13,172
01-03-2025,Tamil Nadu,Kancheepuram,600096,20,267
01-03-2025,Andhra Pradesh,West Godavari,534350,56,407
01-03-2025,Jharkhand,Sahebganj,816116,27,1107
01-03-2025,Telangana,Khammam,507114,49,223
01-03-2025,Telangana,Adilabad,504308,24,234
01-03-2025,Andhra Pradesh,Prakasam,523225,31,443
01-03-2025,Odisha,Sundergarh,770013,13,119
01-03-2025,Rajasthan,Dausa,321613,18,447
01-03-2025,Karnataka,Vijayanagara,583201,103,416
01-03-2025,Tamil Nadu,Coimbatore,641029,24,368
01-03-2025,West Bengal,Murshidabad,742159,72,544
01-03-2025,Tamil Nadu,Dharmapuri,636805,12,249
01-03-2025,Gujarat,Rajkot,360405,14,170
